species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Red-bellied Woodpecker,1,60,0.8833,0.9138,0.8833,0.8983,1.0000
Tricolored Heron,1,60,0.8833,0.9298,0.8833,0.9060,1.0000
American Coot,1,60,0.8833,0.9636,0.8833,0.9217,0.9000
Loggerhead Shrike,1,60,0.8833,0.9298,0.8833,0.9060,0.9833
Yellow-breasted Chat,1,60,0.8833,0.8548,0.8833,0.8689,0.9167
Chestnut-sided Warbler,2,95,0.8842,0.8739,0.8607,0.8651,0.9684
Ring-necked Pheasant,2,61,0.8852,0.9434,0.8252,0.8783,0.9344
Snow Bunting,2,64,0.8906,0.8519,0.7724,0.8050,0.9688
Yellow-headed Blackbird,2,83,0.8916,0.8487,0.8676,0.8558,0.9759
Golden-crowned Sparrow,2,102,0.8922,0.8773,0.8905,0.8820,1.0000
Harlequin Duck,2,65,0.8923,0.9465,0.8409,0.8834,0.9692
Bufflehead,2,93,0.8925,0.8608,0.8826,0.8714,0.9785
Common Goldeneye,2,84,0.8929,0.6708,0.8690,0.7571,0.9643
Northern Waterthrush,1,56,0.8929,0.7353,0.8929,0.8065,0.9821
Yellow-billed Cuckoo,1,47,0.8936,0.7500,0.8936,0.8155,0.9574
Brown Thrasher,1,57,0.8947,0.9808,0.8947,0.9358,0.9474
Yellow-throated Vireo,1,38,0.8947,0.8947,0.8947,0.8947,0.9737
Swainson's Thrush,1,58,0.8966,0.8254,0.8966,0.8595,0.9310
Ring-necked Duck,2,68,0.8971,0.7548,0.8826,0.8135,0.9853
Turkey Vulture,1,59,0.8983,0.9464,0.8983,0.9217,0.9322
Yellow-crowned Night-Heron,2,99,0.8990,0.8888,0.8942,0.8911,0.9899
Forster's Tern,1,60,0.9000,0.7397,0.9000,0.8120,0.9833
Common Redpoll,1,40,0.9000,0.8000,0.9000,0.8471,1.0000
Townsend's Warbler,1,60,0.9000,0.8852,0.9000,0.8926,0.9833
Great Egret,1,60,0.9000,0.8710,0.9000,0.8852,0.9833
White-breasted Nuthatch,1,60,0.9000,0.9153,0.9000,0.9076,0.9500
Ovenbird,1,60,0.9000,0.9474,0.9000,0.9231,0.9667
