species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Snowy Egret,1,49,0.8163,0.8889,0.8163,0.8511,1.0000
Eastern Kingbird,1,60,0.8167,0.8909,0.8167,0.8522,0.8833
Swamp Sparrow,1,60,0.8167,0.8167,0.8167,0.8167,0.9500
Laughing Gull,2,104,0.8173,0.7388,0.8100,0.7719,0.9712
Harris's Sparrow,2,61,0.8197,0.8403,0.8154,0.8261,0.9672
Ladder-backed Woodpecker,1,50,0.8200,0.7321,0.8200,0.7736,0.9800
Common Eider,3,73,0.8219,0.7781,0.8177,0.7961,0.9726
Northern Saw-whet Owl,1,45,0.8222,0.9250,0.8222,0.8706,0.9333
Baltimore Oriole,2,107,0.8224,0.7863,0.8118,0.7982,0.9813
Dark-eyed Junco,5,192,0.8229,0.6985,0.6854,0.6912,0.9688
White-throated Swift,1,40,0.8250,0.7174,0.8250,0.7674,0.9000
Snowy Owl,1,46,0.8261,0.9744,0.8261,0.8941,0.9565
Wood Thrush,1,46,0.8261,0.9500,0.8261,0.8837,0.9130
Reddish Egret,2,75,0.8267,0.8064,0.8144,0.8102,0.9600
White-winged Crossbill,2,52,0.8269,0.7833,0.8219,0.8007,0.9423
Common Grackle,1,58,0.8276,0.7619,0.8276,0.7934,0.9310
Say's Phoebe,1,58,0.8276,0.8571,0.8276,0.8421,0.9655
American Pipit,1,58,0.8276,0.7742,0.8276,0.8000,0.9310
Common Ground-Dove,1,35,0.8286,0.9667,0.8286,0.8923,0.9429
Black-throated Gray Warbler,1,41,0.8293,0.8293,0.8293,0.8293,0.9268
Red-headed Woodpecker,2,94,0.8298,0.8215,0.7889,0.8039,0.9468
Northern Shoveler,2,100,0.8300,0.8167,0.8000,0.8063,0.9300
Scarlet Tanager,2,77,0.8312,0.7894,0.7908,0.7895,0.9740
Ruby-crowned Kinglet,1,60,0.8333,0.8475,0.8333,0.8403,0.9500
Winter Wren,1,54,0.8333,0.7759,0.8333,0.8036,0.9630
Red-breasted Sapsucker,1,42,0.8333,0.9459,0.8333,0.8861,0.9286
Mourning Dove,1,60,0.8333,0.8929,0.8333,0.8621,0.9500
Bald Eagle,2,103,0.8350,0.7918,0.8089,0.7982,0.9515
Ring-necked Pheasant,2,61,0.8361,0.9767,0.7933,0.8722,0.9180
Tree Swallow,1,56,0.8393,0.7344,0.8393,0.7833,0.9464
Wood Stork,1,56,0.8393,0.9400,0.8393,0.8868,0.9643
