order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5934,0.6225,0.5615,0.5845,0.8791
Swifts and Hummingbirds,21,909,0.6073,0.6092,0.5950,0.5929,0.9351
"Hawks, Kites, Eagles, and Allies",29,1260,0.6222,0.6187,0.5971,0.5972,0.8897
"Gulls, Terns, and Allies",26,1038,0.6782,0.6566,0.6516,0.6499,0.9306
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6953,0.6570,0.6593,0.6485,0.9066
Loons,6,226,0.7168,0.7198,0.6951,0.6913,0.9292
Caracaras and Falcons,7,346,0.7197,0.7650,0.7047,0.7314,0.8960
Woodpeckers,16,843,0.7734,0.7607,0.7665,0.7581,0.9715
"Ducks, Geese, and Swans",70,2420,0.7876,0.7774,0.7542,0.7570,0.9463
Perching Birds,265,12539,0.7985,0.7874,0.7751,0.7763,0.9497
Cuckoos,3,113,0.8142,0.8322,0.8085,0.8162,0.9558
Owls,9,426,0.8169,0.8029,0.8036,0.8011,0.9531
Grebes,9,375,0.8187,0.8164,0.8093,0.8103,0.9680
Pigeons and Doves,7,359,0.8384,0.8560,0.8424,0.8481,0.9443
Parrots,1,28,0.8571,1.0000,0.8571,0.9231,0.9643
"Pelicans, Herons, Ibises, and Allies",21,983,0.8616,0.8577,0.8587,0.8558,0.9725
"Plovers, Sandpipers, and Allies",32,1573,0.8665,0.8692,0.8645,0.8651,0.9822
Nightjars,1,39,0.8718,0.8718,0.8718,0.8718,0.9487
Storks,1,56,0.8929,0.9434,0.8929,0.9174,0.9643
Cranes and Rails,6,200,0.9100,0.9127,0.8416,0.8650,0.9500
Kingfishers and Allies,1,60,0.9167,0.9483,0.9167,0.9322,0.9667
"Grouse, Quail, and Allies",10,342,0.9181,0.9100,0.9030,0.9059,0.9620
