order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.6484,0.6468,0.6000,0.6215,0.9341
Swifts and Hummingbirds,21,909,0.6678,0.6519,0.6549,0.6471,0.9483
"Hawks, Kites, Eagles, and Allies",29,1260,0.6817,0.6633,0.6515,0.6491,0.9111
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7174,0.7016,0.6683,0.6680,0.9312
Loons,6,226,0.7434,0.7651,0.7150,0.7375,0.9248
"Gulls, Terns, and Allies",26,1038,0.7466,0.7187,0.7117,0.7099,0.9374
Caracaras and Falcons,7,346,0.8150,0.8631,0.8039,0.8290,0.9566
"Ducks, Geese, and Swans",70,2420,0.8198,0.8007,0.7864,0.7802,0.9562
Owls,9,426,0.8357,0.8346,0.8272,0.8298,0.9718
Woodpeckers,16,843,0.8399,0.8454,0.8366,0.8400,0.9798
Nightjars,1,39,0.8462,0.8462,0.8462,0.8462,0.9487
Perching Birds,265,12539,0.8519,0.8431,0.8285,0.8304,0.9692
Grebes,9,375,0.8800,0.8619,0.8714,0.8647,0.9627
Cranes and Rails,6,200,0.8800,0.9255,0.8041,0.8371,0.9450
Pigeons and Doves,7,359,0.8914,0.9320,0.8968,0.9134,0.9582
"Pelicans, Herons, Ibises, and Allies",21,983,0.8942,0.8740,0.8824,0.8764,0.9786
Cuckoos,3,113,0.9027,0.8851,0.9020,0.8910,0.9735
"Plovers, Sandpipers, and Allies",32,1573,0.9078,0.9151,0.9022,0.9055,0.9866
"Grouse, Quail, and Allies",10,342,0.9240,0.9594,0.9107,0.9332,0.9708
Storks,1,56,0.9286,0.9123,0.9286,0.9204,0.9821
Parrots,1,28,0.9286,1.0000,0.9286,0.9630,1.0000
Kingfishers and Allies,1,60,0.9333,1.0000,0.9333,0.9655,0.9833
