species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Orange-crowned Warbler,1,58,0.7931,0.7077,0.7931,0.7480,0.9483
Bullock's Oriole,2,87,0.7931,0.7886,0.7704,0.7794,0.9425
Yellow-bellied Sapsucker,1,59,0.7966,0.7121,0.7966,0.7520,0.9831
Northern Shrike,1,60,0.8000,0.7059,0.8000,0.7500,0.9333
Eastern Bluebird,1,60,0.8000,0.9231,0.8000,0.8571,0.9667
Vesper Sparrow,1,60,0.8000,0.6316,0.8000,0.7059,0.9333
Red-necked Grebe,2,60,0.8000,0.8595,0.8020,0.8298,0.9333
Willet,1,60,0.8000,0.7385,0.8000,0.7680,0.9833
Northern Parula,1,60,0.8000,0.9057,0.8000,0.8496,0.9500
Golden-crowned Sparrow,2,102,0.8039,0.8207,0.7905,0.7969,0.9804
Ash-throated Flycatcher,1,41,0.8049,0.9706,0.8049,0.8800,0.9512
Rufous-crowned Sparrow,1,41,0.8049,0.8049,0.8049,0.8049,0.9268
Fox Sparrow,3,119,0.8067,0.7203,0.6779,0.6840,0.9580
White-throated Sparrow,2,104,0.8077,0.7870,0.8041,0.7948,1.0000
Yellow-billed Cuckoo,1,47,0.8085,0.7755,0.8085,0.7917,0.9362
Common Goldeneye,2,84,0.8095,0.5700,0.7950,0.6637,0.9524
Summer Tanager,3,100,0.8100,0.9209,0.7804,0.8417,0.9700
Common Grackle,1,58,0.8103,0.8103,0.8103,0.8103,0.9828
Carolina Chickadee,1,58,0.8103,0.5054,0.8103,0.6225,0.9655
Northern Flicker,2,118,0.8136,0.7963,0.8136,0.8013,0.9831
Bald Eagle,2,103,0.8155,0.7767,0.7955,0.7852,0.9320
Marsh Wren,1,60,0.8167,0.8909,0.8167,0.8522,0.9167
Nashville Warbler,1,60,0.8167,0.6049,0.8167,0.6950,0.9500
Yellow-breasted Chat,1,60,0.8167,0.8909,0.8167,0.8522,0.9333
Hermit Thrush,1,60,0.8167,0.8909,0.8167,0.8522,0.9500
Mourning Dove,1,60,0.8167,0.8909,0.8167,0.8522,0.9167
Northern Mockingbird,1,60,0.8167,0.8305,0.8167,0.8235,0.9167
Green-winged Teal,2,71,0.8169,0.8232,0.7923,0.8043,0.9577
Indigo Bunting,2,99,0.8182,0.6792,0.7917,0.7222,0.9293
Common Eider,3,73,0.8219,0.7627,0.8140,0.7787,0.9863
Wood Thrush,1,46,0.8261,0.8837,0.8261,0.8539,0.8696
Bewick's Wren,1,58,0.8276,0.8276,0.8276,0.8276,0.9828
Dark-eyed Junco,5,192,0.8281,0.9197,0.7247,0.7500,0.9531
Ruddy Duck,3,106,0.8302,0.8200,0.8214,0.8204,0.9528
Mountain Chickadee,1,53,0.8302,0.8000,0.8302,0.8148,0.9434
