species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Eastern Screech-Owl,1,50,0.5000,0.5000,0.5000,0.5000,0.9600
Black-tailed Gnatcatcher,1,22,0.5000,0.3143,0.5000,0.3860,0.8636
Calliope Hummingbird,2,89,0.5056,0.6164,0.5203,0.5622,0.8427
Northern Harrier,2,120,0.5083,0.6884,0.5083,0.5459,0.6833
Red Crossbill,2,59,0.5085,0.5611,0.5312,0.5304,0.7288
Lark Bunting,2,51,0.5098,0.9000,0.5559,0.6796,0.7059
Black-throated Gray Warbler,1,41,0.5122,0.7778,0.5122,0.6176,0.8537
Hooded Oriole,2,78,0.5128,0.5143,0.4864,0.4935,0.8590
Red-shouldered Hawk,2,76,0.5132,0.5187,0.5132,0.5089,0.8289
Townsend's Solitaire,1,37,0.5135,0.4750,0.5135,0.4935,0.8108
Golden Eagle,2,72,0.5139,0.4888,0.5214,0.5014,0.8472
Herring Gull,2,101,0.5149,0.4114,0.5157,0.4569,0.8416
Brewer's Blackbird,2,91,0.5165,0.5257,0.5320,0.5271,0.7582
Warbling Vireo,1,60,0.5167,0.6889,0.5167,0.5905,0.8333
Merlin,1,58,0.5172,0.5556,0.5172,0.5357,0.6379
Purple Martin,2,71,0.5211,0.5982,0.5214,0.5563,0.8592
Band-tailed Pigeon,1,40,0.5250,0.7778,0.5250,0.6269,0.7500
Western Bluebird,1,59,0.5254,0.8611,0.5254,0.6526,0.9153
Bronzed Cowbird,1,32,0.5312,0.5000,0.5312,0.5152,0.8125
Great Black-backed Gull,2,73,0.5342,0.6392,0.5408,0.5842,0.8356
Hutton's Vireo,1,39,0.5385,0.3962,0.5385,0.4565,0.8205
Ladder-backed Woodpecker,1,50,0.5400,0.6000,0.5400,0.5684,0.9200
Pacific-slope Flycatcher,1,59,0.5424,0.6531,0.5424,0.5926,0.7627
Common Raven,1,57,0.5439,0.3196,0.5439,0.4026,0.8421
Chimney Swift,1,33,0.5455,0.5000,0.5455,0.5217,0.9091
Common Redpoll,1,40,0.5500,0.5366,0.5500,0.5432,0.9000
Ring-billed Gull,2,96,0.5521,0.5358,0.5306,0.5331,0.8542
Harris's Hawk,1,43,0.5581,0.6667,0.5581,0.6076,0.8372
Orchard Oriole,3,93,0.5591,0.5061,0.5052,0.5028,0.7742
Black-billed Cuckoo,1,32,0.5625,0.5806,0.5625,0.5714,0.7812
Cape May Warbler,1,60,0.5667,0.7234,0.5667,0.6355,0.7500
Glossy Ibis,1,44,0.5682,0.6098,0.5682,0.5882,0.9318
Louisiana Waterthrush,1,42,0.5714,0.6000,0.5714,0.5854,0.9286
Western Grebe,1,42,0.5714,0.7273,0.5714,0.6400,0.9286
Bullock's Oriole,2,87,0.5747,0.6042,0.5556,0.5787,0.8391
White-winged Crossbill,2,52,0.5769,0.6319,0.5813,0.6030,0.8269
Brown-headed Nuthatch,1,38,0.5789,0.6471,0.5789,0.6111,0.8158
Hermit Thrush,1,60,0.5833,0.6863,0.5833,0.6306,0.8500
Ash-throated Flycatcher,1,41,0.5854,0.8276,0.5854,0.6857,0.8780
Cooper's Hawk,2,117,0.5897,0.4454,0.5899,0.5053,0.8803
Eurasian Collared-Dove,1,59,0.5932,0.7778,0.5932,0.6731,0.8983
Greater Yellowlegs,1,59,0.5932,0.5556,0.5932,0.5738,0.9492
Verdin,1,32,0.5938,0.7600,0.5938,0.6667,0.7188
Chipping Sparrow,2,106,0.5943,0.5311,0.5757,0.5500,0.9057
Black-legged Kittiwake,2,42,0.5952,0.4466,0.5984,0.5099,0.8333
Eastern Phoebe,1,60,0.6000,0.6545,0.6000,0.6261,0.7667
Bushtit,1,60,0.6000,0.5373,0.6000,0.5669,0.8500
Cliff Swallow,1,30,0.6000,0.4000,0.6000,0.4800,0.7667
Blue Grosbeak,2,100,0.6000,0.6840,0.5731,0.6200,0.7900
Blackpoll Warbler,2,103,0.6019,0.6265,0.6221,0.6206,0.8350
Carolina Chickadee,1,58,0.6034,0.4795,0.6034,0.5344,0.8793
