species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Hooded Warbler,1,49,0.8571,0.7636,0.8571,0.8077,0.9796
Red-breasted Merganser,2,85,0.8588,0.7866,0.8603,0.8202,1.0000
Green-winged Teal,2,71,0.8592,0.7882,0.8423,0.8141,0.9718
White-eyed Vireo,1,57,0.8596,0.9423,0.8596,0.8991,0.9825
Northern Shoveler,2,100,0.8600,0.7962,0.8333,0.8140,0.9700
Northern Pygmy-Owl,1,50,0.8600,0.8958,0.8600,0.8776,0.9200
Canvasback,2,72,0.8611,0.8669,0.8613,0.8639,0.9722
Harlequin Duck,2,65,0.8615,0.9421,0.7955,0.8497,0.9385
Golden-crowned Kinglet,1,51,0.8627,0.9362,0.8627,0.8980,0.9412
Whimbrel,1,51,0.8627,0.8980,0.8627,0.8800,0.9804
Field Sparrow,1,51,0.8627,0.9362,0.8627,0.8980,0.9412
Lark Sparrow,1,59,0.8644,0.8947,0.8644,0.8793,0.9661
Pine Grosbeak,2,74,0.8649,0.9218,0.8633,0.8906,0.9459
Tricolored Heron,1,60,0.8667,0.8000,0.8667,0.8320,0.9833
Mallard,2,120,0.8667,0.8242,0.8667,0.8399,0.9417
Red-breasted Nuthatch,1,60,0.8667,0.8814,0.8667,0.8739,0.9500
Least Sandpiper,1,60,0.8667,0.8667,0.8667,0.8667,1.0000
Yellow-throated Warbler,1,60,0.8667,0.9455,0.8667,0.9043,0.9167
American Woodcock,1,30,0.8667,1.0000,0.8667,0.9286,0.9333
Barred Owl,1,60,0.8667,0.8966,0.8667,0.8814,0.9500
Baltimore Oriole,2,107,0.8692,0.8452,0.8600,0.8523,0.9626
Scarlet Tanager,2,77,0.8701,0.6811,0.8444,0.7367,0.9740
Eastern Towhee,1,54,0.8704,0.8246,0.8704,0.8468,0.9815
Cedar Waxwing,1,54,0.8704,1.0000,0.8704,0.9307,0.9630
Hooded Merganser,2,86,0.8721,0.9171,0.8676,0.8916,0.9651
House Finch,2,112,0.8750,0.7508,0.8692,0.8053,0.9643
Tree Swallow,1,56,0.8750,0.7206,0.8750,0.7903,0.9464
Solitary Sandpiper,1,56,0.8750,0.8596,0.8750,0.8673,0.9821
Black Oystercatcher,1,49,0.8776,0.9149,0.8776,0.8958,1.0000
Veery,1,41,0.8780,0.8372,0.8780,0.8571,0.9512
American Kestrel,2,115,0.8783,0.8941,0.8742,0.8815,0.9478
Red-breasted Sapsucker,1,42,0.8810,0.9487,0.8810,0.9136,0.9762
Golden-crowned Sparrow,2,102,0.8824,0.8837,0.8714,0.8748,0.9706
Ring-necked Duck,2,68,0.8824,0.7692,0.8712,0.8167,0.9853
American Redstart,2,119,0.8824,0.8445,0.8816,0.8623,0.9496
Red-headed Woodpecker,2,94,0.8830,0.8326,0.8487,0.8405,0.9787
Townsend's Warbler,1,60,0.8833,0.7794,0.8833,0.8281,0.9333
Song Sparrow,1,60,0.8833,0.7361,0.8833,0.8030,0.9833
White-breasted Nuthatch,1,60,0.8833,0.8413,0.8833,0.8618,0.9833
Red-eyed Vireo,1,60,0.8833,0.8281,0.8833,0.8548,0.9167
Pine Siskin,1,60,0.8833,0.8833,0.8833,0.8833,0.9667
Tufted Titmouse,1,60,0.8833,0.8281,0.8833,0.8548,0.9667
Pelagic Cormorant,1,26,0.8846,0.5610,0.8846,0.6866,1.0000
Ring-necked Pheasant,2,61,0.8852,0.8905,0.8503,0.8698,0.9016
Magnolia Warbler,2,105,0.8857,0.9116,0.8750,0.8928,0.9810
Common Ground-Dove,1,35,0.8857,0.8378,0.8857,0.8611,0.9429
Black-crowned Night-Heron,2,114,0.8860,0.9078,0.8833,0.8952,0.9649
Mountain Chickadee,1,53,0.8868,0.7460,0.8868,0.8103,1.0000
Black-headed Grosbeak,2,106,0.8868,0.8375,0.8750,0.8545,0.9717
Spotted Sandpiper,2,98,0.8878,0.8929,0.8855,0.8868,0.9592
Snow Bunting,2,64,0.8906,0.8434,0.7724,0.8006,0.9688
Snowy Owl,1,46,0.8913,0.9762,0.8913,0.9318,0.9348
American Goldfinch,2,120,0.8917,0.8352,0.8917,0.8567,0.9667
Hermit Warbler,1,37,0.8919,0.8462,0.8919,0.8684,1.0000
Dunlin,2,93,0.8925,0.9030,0.8911,0.8966,0.9785
Common Goldeneye,2,84,0.8929,0.7000,0.8797,0.7786,0.9405
Brown Thrasher,1,57,0.8947,0.9444,0.8947,0.9189,0.9298
Barn Swallow,1,57,0.8947,0.9273,0.8947,0.9107,1.0000
Bobolink,2,88,0.8977,0.8678,0.8758,0.8696,0.9886
