species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Brown-capped Rosy-Finch,1,34,0.6176,0.8077,0.6176,0.7000,0.9412
Northern Pintail,2,66,0.6212,0.7794,0.5952,0.6743,0.9091
Black-billed Cuckoo,1,32,0.6250,0.6061,0.6250,0.6154,0.8750
Brewer's Sparrow,1,35,0.6286,0.6471,0.6286,0.6377,0.9429
Red-shouldered Hawk,2,76,0.6316,0.6419,0.6316,0.6367,0.8421
Purple Martin,2,71,0.6338,0.7371,0.6345,0.6818,0.9155
Brandt's Cormorant,1,33,0.6364,0.5833,0.6364,0.6087,0.8788
Merlin,1,58,0.6379,0.6727,0.6379,0.6549,0.8276
Juniper Titmouse,1,25,0.6400,0.6667,0.6400,0.6531,0.8400
Ruby-throated Hummingbird,2,114,0.6404,0.6055,0.6463,0.6251,0.9035
Prairie Falcon,1,42,0.6429,0.7105,0.6429,0.6750,0.8095
Northern Rough-winged Swallow,1,42,0.6429,0.6279,0.6429,0.6353,0.8810
Cackling Goose,1,14,0.6429,0.6000,0.6429,0.6207,0.8571
Pacific-slope Flycatcher,1,59,0.6441,0.6230,0.6441,0.6333,0.8475
Western Sandpiper,1,51,0.6471,0.7021,0.6471,0.6735,1.0000
White-faced Ibis,1,34,0.6471,0.7857,0.6471,0.7097,0.9706
American Black Duck,1,37,0.6486,0.7059,0.6486,0.6761,0.8919
Violet-green Swallow,1,37,0.6486,0.8889,0.6486,0.7500,0.8108
White-winged Scoter,2,57,0.6491,0.5964,0.6481,0.6168,0.8947
Lesser Yellowlegs,1,60,0.6500,0.5735,0.6500,0.6094,0.9667
Northern Gannet,2,80,0.6500,0.6566,0.5333,0.5872,0.8750
White-winged Crossbill,2,52,0.6538,0.7407,0.6438,0.6887,0.9423
Black Scoter,2,41,0.6585,0.6933,0.6782,0.6808,0.9024
Greater Yellowlegs,1,59,0.6610,0.6393,0.6610,0.6500,0.9661
Red Crossbill,2,59,0.6610,0.6020,0.6847,0.6300,0.8475
Hutton's Vireo,1,39,0.6667,0.6190,0.6667,0.6420,0.9231
Western Grebe,1,42,0.6667,0.8485,0.6667,0.7467,1.0000
Caspian Tern,1,49,0.6735,0.6875,0.6735,0.6804,0.9592
Cassin's Finch,2,62,0.6774,0.8545,0.6447,0.7302,0.9194
Gadwall,2,75,0.6800,0.5209,0.5423,0.5213,0.9067
Forster's Tern,1,60,0.6833,0.5775,0.6833,0.6260,0.9500
Lesser Scaup,2,79,0.6835,0.4655,0.6925,0.5550,0.9367
Nuttall's Woodpecker,1,45,0.6889,0.7209,0.6889,0.7045,1.0000
Carolina Chickadee,1,58,0.6897,0.4938,0.6897,0.5755,0.9828
Summer Tanager,3,100,0.6900,0.7917,0.6288,0.6873,0.9700
Black-legged Kittiwake,2,42,0.6905,0.5300,0.6945,0.6012,0.8571
White-tailed Kite,1,13,0.6923,0.4500,0.6923,0.5455,0.7692
Herring Gull,2,101,0.6931,0.4979,0.6866,0.5754,0.9703
Canyon Towhee,1,46,0.6957,0.6809,0.6957,0.6882,0.9565
Great Blue Heron,1,60,0.7000,0.7778,0.7000,0.7368,0.8833
Warbling Vireo,1,60,0.7000,0.7925,0.7000,0.7434,0.9500
Townsend's Solitaire,1,37,0.7027,0.6842,0.7027,0.6933,0.9730
Yellow-billed Magpie,1,27,0.7037,0.9048,0.7037,0.7917,0.9630
Bonaparte's Gull,1,58,0.7069,0.6833,0.7069,0.6949,0.9483
Orange-crowned Warbler,1,58,0.7069,0.6029,0.7069,0.6508,0.9828
Indigo Bunting,2,99,0.7071,0.6832,0.6686,0.6758,0.9192
Bald Eagle,2,103,0.7087,0.7217,0.6808,0.7002,0.9223
Western Tanager,2,86,0.7093,0.6377,0.6498,0.6427,0.9535
Royal Tern,1,38,0.7105,0.7941,0.7105,0.7500,0.9211
Brown-headed Nuthatch,1,38,0.7105,0.6750,0.7105,0.6923,1.0000
Cape May Warbler,1,60,0.7167,0.8431,0.7167,0.7748,0.8500
Snowy Owl,1,46,0.7174,0.9429,0.7174,0.8148,0.9565
Eastern Screech-Owl,1,50,0.7200,0.6000,0.7200,0.6545,0.9800
Sandhill Crane,1,25,0.7200,0.6667,0.7200,0.6923,0.8400
Northern Flicker,2,118,0.7203,0.7308,0.7203,0.7233,0.9576
Surf Scoter,2,61,0.7213,0.7300,0.6605,0.6855,0.9344
Crested Caracara,1,54,0.7222,0.8298,0.7222,0.7723,0.8519
Winter Wren,1,54,0.7222,0.6610,0.7222,0.6903,0.9815
Yellow-billed Cuckoo,1,47,0.7234,0.7234,0.7234,0.7234,0.9149
Abert's Towhee,1,29,0.7241,0.8400,0.7241,0.7778,0.9310
Blackburnian Warbler,1,51,0.7255,0.8409,0.7255,0.7789,0.8824
Golden-fronted Woodpecker,1,33,0.7273,0.7273,0.7273,0.7273,0.9091
Redhead,2,44,0.7273,0.6297,0.6906,0.6561,0.8636
Western Kingbird,1,52,0.7308,0.6909,0.7308,0.7103,0.8654
Broad-billed Hummingbird,2,71,0.7324,0.5151,0.6058,0.5536,0.9437
Semipalmated Sandpiper,1,60,0.7333,0.6471,0.7333,0.6875,1.0000
Blue-gray Gnatcatcher,1,60,0.7333,0.7586,0.7333,0.7458,0.9667
Hermit Thrush,1,60,0.7333,0.7857,0.7333,0.7586,0.9167
Yellow-rumped Warbler,4,214,0.7336,0.7082,0.7235,0.7127,0.9766
Golden-crowned Sparrow,2,102,0.7353,0.7861,0.7286,0.7551,0.9608
Bullock's Oriole,2,87,0.7356,0.7444,0.7132,0.7269,0.9310
Phainopepla,2,53,0.7358,0.7094,0.7460,0.7267,0.8679
White-winged Dove,1,57,0.7368,0.8077,0.7368,0.7706,0.9123
Scaled Quail,1,19,0.7368,0.8750,0.7368,0.8000,1.0000
Ross's Goose,1,23,0.7391,0.5312,0.7391,0.6182,0.9565
Dark-eyed Junco,5,192,0.7396,0.6334,0.6145,0.6229,0.9531
Common Eider,3,73,0.7397,0.6539,0.7268,0.6849,0.9041
Laughing Gull,2,104,0.7404,0.6918,0.7158,0.6998,0.9135
House Wren,1,54,0.7407,0.6452,0.7407,0.6897,0.8889
Common Loon,2,120,0.7417,0.8091,0.7417,0.7667,0.8833
Orchard Oriole,3,93,0.7419,0.6883,0.7018,0.6885,0.9462
Yellow-bellied Sapsucker,1,59,0.7458,0.6111,0.7458,0.6718,0.9322
Black Vulture,1,48,0.7500,0.6792,0.7500,0.7129,0.9375
White-throated Swift,1,40,0.7500,0.5769,0.7500,0.6522,0.9250
Harlequin Duck,2,65,0.7538,0.9262,0.6697,0.7518,0.8923
Cattle Egret,1,49,0.7551,0.8222,0.7551,0.7872,0.9796
Wrentit,1,37,0.7568,0.8485,0.7568,0.8000,0.9189
Lesser Goldfinch,2,95,0.7579,0.7799,0.7130,0.7307,0.9053
House Sparrow,2,116,0.7586,0.7364,0.7583,0.7450,0.9138
Gray Jay,1,54,0.7593,0.8542,0.7593,0.8039,0.8889
Clark's Nutcracker,1,46,0.7609,0.8750,0.7609,0.8140,0.9130
Wood Thrush,1,46,0.7609,0.9211,0.7609,0.8333,0.8913
Eurasian Collared-Dove,1,59,0.7627,0.7759,0.7627,0.7692,0.9492
Little Blue Heron,2,97,0.7629,0.7023,0.7462,0.7223,0.9381
Yellow-throated Vireo,1,38,0.7632,0.6744,0.7632,0.7160,0.8947
Bushtit,1,60,0.7667,0.6301,0.7667,0.6917,0.8667
Eastern Phoebe,1,60,0.7667,0.7077,0.7667,0.7360,0.8667
Red-necked Grebe,2,60,0.7667,0.7111,0.7686,0.7373,0.9000
Vesper Sparrow,1,60,0.7667,0.6866,0.7667,0.7244,0.9667
Willet,1,60,0.7667,0.8070,0.7667,0.7863,0.9333
Prairie Warbler,1,60,0.7667,0.7931,0.7667,0.7797,0.9833
Marsh Wren,1,60,0.7667,0.7931,0.7667,0.7797,0.9333
Northern Shrike,1,60,0.7667,0.6765,0.7667,0.7188,0.9500
Blackpoll Warbler,2,103,0.7670,0.7799,0.7736,0.7767,0.9320
Harris's Hawk,1,43,0.7674,0.7674,0.7674,0.7674,0.9535
Barn Owl,1,52,0.7692,0.7407,0.7692,0.7547,0.9038
Black-tailed Gnatcatcher,1,22,0.7727,0.4359,0.7727,0.5574,0.9091
Glossy Ibis,1,44,0.7727,0.7234,0.7727,0.7473,0.9773
California Towhee,1,44,0.7727,0.7234,0.7727,0.7473,0.9545
Green-winged Teal,2,71,0.7746,0.7636,0.7512,0.7563,0.9296
Eared Grebe,2,80,0.7750,0.8184,0.7732,0.7940,0.8875
Band-tailed Pigeon,1,40,0.7750,0.8611,0.7750,0.8158,0.9750
Swainson's Thrush,1,58,0.7759,0.8036,0.7759,0.7895,0.9138
Red-headed Woodpecker,2,94,0.7766,0.8429,0.7174,0.7535,0.8936
Pigeon Guillemot,2,59,0.7797,0.6190,0.7402,0.6741,0.9153
Ladder-backed Woodpecker,1,50,0.7800,0.7091,0.7800,0.7429,1.0000
Fox Sparrow,3,119,0.7815,0.7444,0.6307,0.6238,0.9328
Clay-colored Sparrow,1,60,0.7833,0.7705,0.7833,0.7769,0.9167
Tricolored Heron,1,60,0.7833,0.8103,0.7833,0.7966,1.0000
Mourning Dove,1,60,0.7833,0.7705,0.7833,0.7769,0.8833
Western Scrub-Jay,1,60,0.7833,0.6714,0.7833,0.7231,0.9833
Yellow Warbler,1,60,0.7833,0.7966,0.7833,0.7899,0.9500
Northern Waterthrush,1,56,0.7857,0.6111,0.7857,0.6875,0.9464
Common Goldeneye,2,84,0.7857,0.6165,0.7647,0.6823,0.9167
Cinnamon Teal,2,75,0.7867,0.9630,0.6795,0.7691,0.9333
European Starling,3,154,0.7922,0.7804,0.7970,0.7882,0.9545
Ruddy Duck,3,106,0.7925,0.8601,0.7738,0.8068,0.9057
Black-headed Grosbeak,2,106,0.7925,0.8660,0.7762,0.8153,0.9717
Double-crested Cormorant,2,106,0.7925,0.6182,0.7927,0.6943,0.9717
Mountain Chickadee,1,53,0.7925,0.8750,0.7925,0.8317,0.9811
Common Grackle,1,58,0.7931,0.7302,0.7931,0.7603,0.9483
Swallow-tailed Kite,1,29,0.7931,0.7188,0.7931,0.7541,0.9655
Rock Pigeon,1,58,0.7931,0.9388,0.7931,0.8598,0.8966
Common Nighthawk,1,39,0.7949,0.7750,0.7949,0.7848,0.9231
Northern Mockingbird,1,60,0.8000,0.9057,0.8000,0.8496,0.9333
White-breasted Nuthatch,1,60,0.8000,0.8571,0.8000,0.8276,0.8667
Swamp Sparrow,1,60,0.8000,0.8727,0.8000,0.8348,0.9500
Red-breasted Nuthatch,1,60,0.8000,0.7619,0.8000,0.7805,0.8667
Spotted Towhee,1,60,0.8000,0.8727,0.8000,0.8348,0.9167
Black-throated Gray Warbler,1,41,0.8049,0.9167,0.8049,0.8571,0.9268
Barn Swallow,1,57,0.8070,0.9020,0.8070,0.8519,0.9649
Black Rosy-Finch,1,26,0.8077,0.7778,0.8077,0.7925,0.9231
Lazuli Bunting,2,68,0.8088,0.8333,0.7757,0.8034,0.9706
Scissor-tailed Flycatcher,1,37,0.8108,0.8108,0.8108,0.8108,0.9459
Gray-crowned Rosy-Finch,1,37,0.8108,0.8108,0.8108,0.8108,0.9730
Black Skimmer,1,53,0.8113,0.8431,0.8113,0.8269,0.9434
Great Crested Flycatcher,1,53,0.8113,0.8958,0.8113,0.8515,0.9434
Verdin,1,32,0.8125,0.8387,0.8125,0.8254,0.8750
Northern Bobwhite,1,32,0.8125,0.9630,0.8125,0.8814,0.9688
Brant,1,32,0.8125,0.9286,0.8125,0.8667,0.9062
Baltimore Oriole,2,107,0.8131,0.8297,0.7994,0.8139,0.9626
Red-throated Loon,2,59,0.8136,0.7485,0.7278,0.7276,0.8983
Wilson's Phalarope,2,81,0.8148,0.7245,0.7995,0.7579,0.9877
Mountain Bluebird,1,49,0.8163,0.7692,0.8163,0.7921,0.9592
Townsend's Warbler,1,60,0.8167,0.7424,0.8167,0.7778,0.9667
