order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.7151,0.7135,0.7032,0.7021,0.9681
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7961,0.7681,0.7628,0.7593,0.9681
"Hawks, Kites, Eagles, and Allies",29,1260,0.8183,0.8143,0.7983,0.8006,0.9810
Skuas and Alcids,4,91,0.8242,0.8432,0.7640,0.7869,0.9560
"Gulls, Terns, and Allies",26,1038,0.8314,0.8038,0.8026,0.7981,0.9740
Loons,6,226,0.8496,0.8546,0.8255,0.8347,0.9779
"Ducks, Geese, and Swans",70,2420,0.8963,0.9017,0.8744,0.8764,0.9905
Caracaras and Falcons,7,346,0.9075,0.9040,0.8919,0.8967,0.9740
Grebes,9,375,0.9120,0.9171,0.9014,0.9067,0.9893
Perching Birds,265,12539,0.9155,0.9120,0.8983,0.9000,0.9899
Woodpeckers,16,843,0.9158,0.9215,0.9180,0.9165,0.9964
Owls,9,426,0.9202,0.9143,0.9067,0.9090,0.9930
Cranes and Rails,6,200,0.9300,0.9293,0.8620,0.8830,0.9950
"Plovers, Sandpipers, and Allies",32,1573,0.9409,0.9475,0.9393,0.9418,0.9949
Cuckoos,3,113,0.9469,0.9515,0.9375,0.9394,1.0000
"Pelicans, Herons, Ibises, and Allies",21,983,0.9552,0.9563,0.9444,0.9488,0.9929
"Grouse, Quail, and Allies",10,342,0.9678,0.9464,0.9543,0.9496,0.9942
Nightjars,1,39,0.9744,1.0000,0.9744,0.9870,0.9744
Pigeons and Doves,7,359,0.9749,0.9813,0.9756,0.9783,0.9972
Storks,1,56,1.0000,0.9655,1.0000,0.9825,1.0000
Kingfishers and Allies,1,60,1.0000,1.0000,1.0000,1.0000,1.0000
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
