order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5714,0.5009,0.4870,0.4831,0.9011
Swifts and Hummingbirds,21,909,0.5996,0.6108,0.5765,0.5787,0.9428
"Hawks, Kites, Eagles, and Allies",29,1260,0.6341,0.6246,0.6108,0.6078,0.8714
Loons,6,226,0.6726,0.7128,0.6429,0.6697,0.9071
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6781,0.6335,0.6354,0.6266,0.9238
"Gulls, Terns, and Allies",26,1038,0.6830,0.6535,0.6495,0.6451,0.9220
Caracaras and Falcons,7,346,0.7341,0.7542,0.7088,0.7275,0.9133
"Ducks, Geese, and Swans",70,2420,0.7893,0.7768,0.7500,0.7464,0.9376
Woodpeckers,16,843,0.7936,0.7821,0.7867,0.7797,0.9620
Perching Birds,265,12539,0.8013,0.7886,0.7742,0.7751,0.9477
Grebes,9,375,0.8107,0.8186,0.7985,0.8016,0.9520
Cuckoos,3,113,0.8230,0.8170,0.8174,0.8168,0.9469
Owls,9,426,0.8357,0.8037,0.8231,0.8112,0.9554
Pigeons and Doves,7,359,0.8468,0.8703,0.8494,0.8583,0.9359
Parrots,1,28,0.8571,0.9600,0.8571,0.9057,0.9643
"Pelicans, Herons, Ibises, and Allies",21,983,0.8708,0.8790,0.8610,0.8676,0.9685
Nightjars,1,39,0.8718,0.8293,0.8718,0.8500,0.9744
"Plovers, Sandpipers, and Allies",32,1573,0.8767,0.8851,0.8771,0.8779,0.9816
Cranes and Rails,6,200,0.8900,0.8911,0.8299,0.8494,0.9500
Kingfishers and Allies,1,60,0.9167,0.9649,0.9167,0.9402,0.9667
"Grouse, Quail, and Allies",10,342,0.9181,0.9127,0.8954,0.9030,0.9620
Storks,1,56,0.9286,0.9630,0.9286,0.9455,0.9643
