species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Gambel's Quail,2,52,0.9231,0.9373,0.8824,0.9055,0.9808
Osprey,1,52,0.9231,0.7500,0.9231,0.8276,0.9615
Northern Cardinal,2,120,0.9250,0.9485,0.9250,0.9358,0.9833
Rose-breasted Grosbeak,2,108,0.9259,0.7867,0.9167,0.8463,1.0000
Purple Finch,2,97,0.9278,0.8036,0.9267,0.8596,0.9794
Green-tailed Towhee,1,28,0.9286,0.7879,0.9286,0.8525,0.9643
Brown-headed Cowbird,2,109,0.9358,0.7353,0.9398,0.8127,0.9908
Brant,1,32,0.9375,0.9375,0.9375,0.9375,1.0000
Black Oystercatcher,1,49,0.9388,0.9787,0.9388,0.9583,0.9592
Chestnut-backed Chickadee,1,54,0.9444,0.6220,0.9444,0.7500,0.9630
Semipalmated Plover,1,54,0.9444,0.9273,0.9444,0.9358,0.9815
American Avocet,1,54,0.9444,0.9444,0.9444,0.9444,1.0000
Varied Thrush,1,56,0.9464,0.7910,0.9464,0.8618,0.9643
Brown Creeper,1,58,0.9483,0.8871,0.9483,0.9167,0.9828
California Quail,2,78,0.9487,0.9649,0.9091,0.9346,0.9744
Evening Grosbeak,2,120,0.9500,0.9746,0.9500,0.9621,0.9750
Black Phoebe,1,60,0.9500,0.7917,0.9500,0.8636,1.0000
Cactus Wren,1,43,0.9535,0.8723,0.9535,0.9111,0.9767
Roseate Spoonbill,1,29,0.9655,0.9655,0.9655,0.9655,1.0000
Black-necked Stilt,1,33,0.9697,0.9697,0.9697,0.9697,1.0000
Blue-winged Warbler,1,38,0.9737,0.8810,0.9737,0.9250,1.0000
