species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Red-breasted Merganser,2,85,0.5882,0.5060,0.5931,0.5418,0.7647
Sanderling,2,68,0.5882,0.6019,0.4887,0.5184,0.8529
Cedar Waxwing,1,54,0.5926,0.6275,0.5926,0.6095,0.7593
Red-breasted Sapsucker,1,42,0.5952,0.3788,0.5952,0.4630,0.7857
Spotted Towhee,1,60,0.6000,0.3364,0.6000,0.4311,0.8000
White-breasted Nuthatch,1,60,0.6000,0.4737,0.6000,0.5294,0.7500
Ruffed Grouse,1,40,0.6000,0.4286,0.6000,0.5000,0.8750
Northern Saw-whet Owl,1,45,0.6000,0.6000,0.6000,0.6000,0.8000
Spotted Sandpiper,2,98,0.6020,0.4510,0.6010,0.5149,0.7449
Bufflehead,2,93,0.6022,0.3878,0.5144,0.4388,0.8172
American Robin,2,119,0.6050,0.5136,0.6049,0.5478,0.7395
American White Pelican,1,28,0.6071,0.4250,0.6071,0.5000,0.7500
Northern Cardinal,2,120,0.6083,0.5210,0.6083,0.5593,0.8333
Snow Bunting,2,64,0.6094,0.6216,0.5353,0.5678,0.8750
Yellow-headed Blackbird,2,83,0.6145,0.5665,0.5924,0.5762,0.8193
Wild Turkey,1,60,0.6167,0.6271,0.6167,0.6218,0.7333
Ring-necked Duck,2,68,0.6176,0.4286,0.5720,0.4886,0.8382
Brown Creeper,1,58,0.6207,0.8372,0.6207,0.7129,0.7586
Blue Jay,1,60,0.6333,0.5278,0.6333,0.5758,0.8000
Barred Owl,1,60,0.6333,0.5846,0.6333,0.6080,0.9000
Black Turnstone,1,47,0.6383,0.8333,0.6383,0.7229,0.7872
Chestnut-backed Chickadee,1,54,0.6481,0.4023,0.6481,0.4965,0.8704
Marbled Godwit,1,60,0.6500,0.4756,0.6500,0.5493,0.8000
Black-and-white Warbler,1,60,0.6500,0.4643,0.6500,0.5417,0.7667
Steller's Jay,1,60,0.6500,0.6190,0.6500,0.6341,0.8500
Least Sandpiper,1,60,0.6500,0.4815,0.6500,0.5532,0.9000
American Oystercatcher,1,49,0.6531,0.6809,0.6531,0.6667,0.8367
Swallow-tailed Kite,1,29,0.6552,0.5429,0.6552,0.5938,0.8276
Ring-necked Pheasant,2,61,0.6557,0.6077,0.5509,0.5763,0.8197
Purple Gallinule,2,51,0.6667,0.4376,0.4909,0.4596,0.8039
Hooded Warbler,1,49,0.6735,0.4853,0.6735,0.5641,0.8163
Mute Swan,1,60,0.6833,0.5190,0.6833,0.5899,0.8333
Burrowing Owl,1,43,0.6977,0.6977,0.6977,0.6977,0.8605
Black-bellied Plover,2,77,0.7013,0.5818,0.7024,0.6254,0.8701
Semipalmated Plover,1,54,0.7037,0.6333,0.7037,0.6667,0.9444
Ruddy Turnstone,1,55,0.7091,0.7358,0.7091,0.7222,0.8364
Roseate Spoonbill,1,29,0.7241,0.7778,0.7241,0.7500,0.9655
Black-necked Stilt,1,33,0.7273,0.6486,0.7273,0.6857,0.8788
Canyon Wren,1,26,0.7308,0.7037,0.7308,0.7170,0.8846
California Quail,2,78,0.7308,0.5975,0.6469,0.6200,0.8846
Wood Duck,2,106,0.7453,0.6019,0.7319,0.6535,0.8491
Killdeer,1,60,0.7500,0.5844,0.7500,0.6569,0.8833
Gambel's Quail,2,52,0.7500,0.6856,0.6782,0.6806,0.8846
American Avocet,1,54,0.7778,0.6562,0.7778,0.7119,0.9074
Great Horned Owl,1,46,0.7826,0.5000,0.7826,0.6102,0.9130
