species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Loggerhead Shrike,1,60,0.8500,0.8500,0.8500,0.8500,0.9833
Northern Parula,1,60,0.8500,0.8226,0.8500,0.8361,0.9167
Marsh Wren,1,60,0.8500,0.8500,0.8500,0.8500,0.9500
Wild Turkey,1,60,0.8500,0.9273,0.8500,0.8870,0.9500
Nashville Warbler,1,60,0.8500,0.7727,0.8500,0.8095,0.9500
House Wren,1,54,0.8519,0.8214,0.8519,0.8364,0.9259
Yellow-billed Magpie,1,27,0.8519,0.8214,0.8519,0.8364,0.9630
Brown-headed Cowbird,2,109,0.8532,0.8525,0.8480,0.8496,0.9725
Black-throated Gray Warbler,1,41,0.8537,0.9459,0.8537,0.8974,0.9268
Rufous-crowned Sparrow,1,41,0.8537,0.7778,0.8537,0.8140,0.9512
Northern Shoveler,2,100,0.8600,0.8177,0.8333,0.8254,0.9500
Northern Pygmy-Owl,1,50,0.8600,0.9149,0.8600,0.8866,0.8800
Swallow-tailed Kite,1,29,0.8621,0.6579,0.8621,0.7463,0.9655
Common Grackle,1,58,0.8621,0.6849,0.8621,0.7634,0.9655
Bewick's Wren,1,58,0.8621,0.8621,0.8621,0.8621,0.9828
Purple Gallinule,2,51,0.8627,0.9333,0.7148,0.7713,0.9412
Glossy Ibis,1,44,0.8636,0.6667,0.8636,0.7525,0.9773
Wilson's Phalarope,2,81,0.8642,0.8157,0.8457,0.8304,0.9877
Eurasian Collared-Dove,1,59,0.8644,0.8361,0.8644,0.8500,0.9322
Blue-winged Teal,2,59,0.8644,0.8545,0.7997,0.8257,0.9322
Pine Grosbeak,2,74,0.8649,0.9283,0.8662,0.8962,0.9189
Hermit Warbler,1,37,0.8649,0.7805,0.8649,0.8205,0.9730
Blue-headed Vireo,1,52,0.8654,0.6923,0.8654,0.7692,0.9423
House Finch,2,112,0.8661,0.8120,0.8622,0.8361,0.9732
Gray Catbird,1,60,0.8667,0.8000,0.8667,0.8320,0.9333
American Coot,1,60,0.8667,0.9630,0.8667,0.9123,0.9000
Eastern Kingbird,1,60,0.8667,0.8387,0.8667,0.8525,0.9167
Ruby-crowned Kinglet,1,60,0.8667,0.8814,0.8667,0.8739,0.9833
Northern Mockingbird,1,60,0.8667,0.8525,0.8667,0.8595,0.9500
Ring-necked Duck,2,68,0.8676,0.8305,0.8409,0.8316,0.9853
Chipping Sparrow,2,106,0.8679,0.8025,0.8554,0.8281,0.9434
Yellow-throated Vireo,1,38,0.8684,0.8684,0.8684,0.8684,0.9474
Canyon Towhee,1,46,0.8696,0.8163,0.8696,0.8421,0.9565
Rose-breasted Grosbeak,2,108,0.8704,0.8692,0.8542,0.8582,1.0000
Bridled Titmouse,1,31,0.8710,0.8438,0.8710,0.8571,1.0000
Solitary Sandpiper,1,56,0.8750,0.8167,0.8750,0.8448,0.9821
Surfbird,1,40,0.8750,0.9459,0.8750,0.9091,0.9500
Bronzed Cowbird,1,32,0.8750,1.0000,0.8750,0.9333,0.9375
White-winged Dove,1,57,0.8772,0.8065,0.8772,0.8403,0.9123
Cattle Egret,1,49,0.8776,0.8600,0.8776,0.8687,0.9796
Baltimore Oriole,2,107,0.8785,0.8686,0.8685,0.8685,0.9907
Greater White-fronted Goose,1,33,0.8788,0.9667,0.8788,0.9206,0.9091
Yellow-headed Blackbird,2,83,0.8795,0.8835,0.8619,0.8690,0.9518
Gila Woodpecker,1,50,0.8800,0.8462,0.8800,0.8627,0.9800
Brown Pelican,1,34,0.8824,0.9375,0.8824,0.9091,0.9706
Whimbrel,1,51,0.8824,0.9000,0.8824,0.8911,0.9804
Scarlet Tanager,2,77,0.8831,0.7457,0.8546,0.7889,0.9740
Yellow-breasted Chat,1,60,0.8833,0.8548,0.8833,0.8689,0.9667
Bohemian Waxwing,1,60,0.8833,0.9815,0.8833,0.9298,0.9667
Blue-gray Gnatcatcher,1,60,0.8833,0.8154,0.8833,0.8480,0.9833
Ring-necked Pheasant,2,61,0.8852,0.9117,0.8503,0.8799,0.9180
Common Ground-Dove,1,35,0.8857,0.9394,0.8857,0.9118,0.9143
Black-crowned Night-Heron,2,114,0.8860,0.9106,0.8815,0.8935,0.9474
Long-billed Curlew,1,53,0.8868,0.9038,0.8868,0.8952,0.9811
Mountain Chickadee,1,53,0.8868,0.8545,0.8868,0.8704,0.9811
Cedar Waxwing,1,54,0.8889,0.9412,0.8889,0.9143,0.9259
Nuttall's Woodpecker,1,45,0.8889,0.8163,0.8889,0.8511,1.0000
Summer Tanager,3,100,0.8900,0.8497,0.8802,0.8646,0.9700
White Ibis,2,91,0.8901,0.8735,0.8550,0.8621,0.9670
Black-throated Blue Warbler,2,91,0.8901,0.8594,0.8795,0.8685,0.9890
Curve-billed Thrasher,1,46,0.8913,0.9762,0.8913,0.9318,0.9783
Scissor-tailed Flycatcher,1,37,0.8919,0.8919,0.8919,0.8919,0.9459
Harlequin Duck,2,65,0.8923,0.9298,0.8409,0.8789,0.9538
Monk Parakeet,1,28,0.8929,0.9259,0.8929,0.9091,0.9643
Black Turnstone,1,47,0.8936,1.0000,0.8936,0.9438,0.9787
Yellow-billed Cuckoo,1,47,0.8936,0.7000,0.8936,0.7850,0.9787
Red-breasted Merganser,2,85,0.8941,0.8667,0.8936,0.8792,0.9882
Clark's Grebe,1,38,0.8947,0.7234,0.8947,0.8000,0.9737
Chestnut-sided Warbler,2,95,0.8947,0.8627,0.8750,0.8678,0.9895
Black-billed Magpie,1,38,0.8947,0.8718,0.8947,0.8831,1.0000
Pyrrhuloxia,1,48,0.8958,0.9773,0.8958,0.9348,0.9583
Black-headed Grosbeak,2,106,0.8962,0.8530,0.8854,0.8688,0.9623
Lark Sparrow,1,59,0.8983,0.8689,0.8983,0.8833,0.9831
Anhinga,1,60,0.9000,0.8060,0.9000,0.8504,0.9500
Yellow-throated Warbler,1,60,0.9000,0.9643,0.9000,0.9310,0.9167
Ovenbird,1,60,0.9000,0.9310,0.9000,0.9153,0.9667
American Woodcock,1,30,0.9000,1.0000,0.9000,0.9474,0.9333
Great Egret,1,60,0.9000,0.8182,0.9000,0.8571,0.9667
Barred Owl,1,60,0.9000,0.9000,0.9000,0.9000,1.0000
Mallard,2,120,0.9000,0.8426,0.9000,0.8667,0.9750
Marbled Godwit,1,60,0.9000,0.9000,0.9000,0.9000,0.9833
Swamp Sparrow,1,60,0.9000,0.8710,0.9000,0.8852,0.9667
Tricolored Heron,1,60,0.9000,0.8571,0.9000,0.8780,0.9833
Song Sparrow,1,60,0.9000,0.8308,0.9000,0.8640,0.9667
Pied-billed Grebe,1,60,0.9000,0.9000,0.9000,0.9000,0.9500
Bufflehead,2,93,0.9032,0.7512,0.8909,0.8143,0.9570
Dunlin,2,93,0.9032,0.9111,0.9111,0.9111,0.9892
Magnolia Warbler,2,105,0.9048,0.8631,0.8972,0.8790,0.9810
Snow Bunting,2,64,0.9062,0.9545,0.8141,0.8673,0.9531
Hooded Merganser,2,86,0.9070,0.9500,0.8902,0.9190,0.9651
Cactus Wren,1,43,0.9070,0.9750,0.9070,0.9398,0.9767
Winter Wren,1,54,0.9074,0.7538,0.9074,0.8235,0.9815
Spotted Sandpiper,2,98,0.9082,0.8806,0.9068,0.8933,0.9592
Turkey Vulture,1,59,0.9153,0.9310,0.9153,0.9231,0.9492
Red-eyed Vireo,1,60,0.9167,0.8333,0.9167,0.8730,0.9500
Horned Lark,1,60,0.9167,0.8462,0.9167,0.8800,0.9500
Tufted Titmouse,1,60,0.9167,0.8871,0.9167,0.9016,0.9833
Red-bellied Woodpecker,1,60,0.9167,0.8730,0.9167,0.8943,0.9833
Eastern Bluebird,1,60,0.9167,0.8462,0.9167,0.8800,0.9833
Pine Siskin,1,60,0.9167,0.7971,0.9167,0.8527,0.9667
Townsend's Warbler,1,60,0.9167,0.8462,0.9167,0.8800,0.9333
Carolina Wren,1,60,0.9167,0.8333,0.9167,0.8730,0.9667
Short-billed Dowitcher,1,60,0.9167,0.8462,0.9167,0.8800,0.9833
Wilson's Warbler,1,60,0.9167,0.8462,0.9167,0.8800,1.0000
Least Sandpiper,1,60,0.9167,0.7746,0.9167,0.8397,0.9833
Black-throated Green Warbler,1,60,0.9167,0.7746,0.9167,0.8397,0.9667
Pileated Woodpecker,1,60,0.9167,0.9322,0.9167,0.9244,0.9667
Purple Finch,2,97,0.9175,0.8512,0.9126,0.8808,0.9691
Black Oystercatcher,1,49,0.9184,0.9783,0.9184,0.9474,0.9388
Common Merganser,2,74,0.9189,0.8289,0.9211,0.8721,0.9865
Vermilion Flycatcher,2,89,0.9213,0.9410,0.9028,0.9191,0.9551
Field Sparrow,1,51,0.9216,0.9792,0.9216,0.9495,0.9804
American Robin,2,119,0.9244,0.9322,0.9247,0.9284,0.9748
American Redstart,2,119,0.9244,0.8871,0.9239,0.9051,0.9580
Wood Duck,2,106,0.9245,0.9199,0.9181,0.9189,0.9811
Great Crested Flycatcher,1,53,0.9245,0.8596,0.9245,0.8909,1.0000
Common Yellowthroat,2,120,0.9250,0.9084,0.9250,0.9161,0.9917
American Goldfinch,2,120,0.9250,0.9179,0.9250,0.9214,0.9750
American White Pelican,1,28,0.9286,0.8966,0.9286,0.9123,0.9643
Green-tailed Towhee,1,28,0.9286,0.8387,0.9286,0.8814,0.9643
Green-winged Teal,2,71,0.9296,0.8767,0.9167,0.8950,0.9577
Brown Thrasher,1,57,0.9298,0.9815,0.9298,0.9550,0.9298
Burrowing Owl,1,43,0.9302,0.9091,0.9302,0.9195,0.9535
Abert's Towhee,1,29,0.9310,0.8182,0.9310,0.8710,0.9655
Brown Creeper,1,58,0.9310,0.9153,0.9310,0.9231,1.0000
Bobolink,2,88,0.9318,0.9263,0.9212,0.9236,0.9659
Palm Warbler,1,44,0.9318,0.9318,0.9318,0.9318,0.9545
Northern Saw-whet Owl,1,45,0.9333,0.9333,0.9333,0.9333,0.9778
Red-breasted Nuthatch,1,60,0.9333,0.9333,0.9333,0.9333,0.9833
Killdeer,1,60,0.9333,0.9180,0.9333,0.9256,0.9500
Dickcissel,1,60,0.9333,0.9032,0.9333,0.9180,0.9833
Prairie Warbler,1,60,0.9333,0.8750,0.9333,0.9032,1.0000
White-breasted Nuthatch,1,60,0.9333,0.8750,0.9333,0.9032,0.9833
White-crowned Sparrow,2,120,0.9333,0.9040,0.9333,0.9184,0.9833
Lincoln's Sparrow,1,60,0.9333,0.9032,0.9333,0.9180,1.0000
Savannah Sparrow,1,60,0.9333,0.9333,0.9333,0.9333,0.9833
Blue Jay,1,60,0.9333,0.8889,0.9333,0.9106,0.9833
Prothonotary Warbler,1,46,0.9348,0.9149,0.9348,0.9247,0.9783
California Thrasher,1,32,0.9375,0.8571,0.9375,0.8955,0.9688
Brant,1,32,0.9375,0.9677,0.9375,0.9524,1.0000
Northern Bobwhite,1,32,0.9375,0.9375,0.9375,0.9375,1.0000
American Oystercatcher,1,49,0.9388,0.9583,0.9388,0.9485,0.9592
Gambel's Quail,2,52,0.9423,0.9118,0.9118,0.9118,0.9615
Eastern Towhee,1,54,0.9444,0.8793,0.9444,0.9107,0.9815
Wilson's Snipe,1,55,0.9455,0.8814,0.9455,0.9123,0.9636
Varied Thrush,1,56,0.9464,0.9464,0.9464,0.9464,0.9643
White-eyed Vireo,1,57,0.9474,0.9310,0.9474,0.9391,0.9825
Scaled Quail,1,19,0.9474,0.9000,0.9474,0.9231,1.0000
Acorn Woodpecker,1,58,0.9483,0.9649,0.9483,0.9565,0.9828
California Quail,2,78,0.9487,0.9031,0.9091,0.9056,0.9872
Painted Bunting,2,98,0.9490,0.9195,0.9359,0.9276,0.9898
Black-and-white Warbler,1,60,0.9500,0.8507,0.9500,0.8976,0.9500
Western Scrub-Jay,1,60,0.9500,0.7917,0.9500,0.8636,1.0000
Belted Kingfisher,1,60,0.9500,0.9500,0.9500,0.9500,0.9667
Canada Warbler,1,60,0.9500,1.0000,0.9500,0.9744,0.9833
Mute Swan,1,60,0.9500,0.7600,0.9500,0.8444,1.0000
Steller's Jay,1,60,0.9500,0.9661,0.9500,0.9580,0.9667
Heermann's Gull,2,61,0.9508,0.8419,0.9417,0.8889,0.9836
Veery,1,41,0.9512,0.7647,0.9512,0.8478,0.9756
Common Gallinule,2,64,0.9531,0.9537,0.9000,0.9202,0.9844
American Wigeon,2,64,0.9531,0.8625,0.9363,0.8963,0.9688
Red-winged Blackbird,2,119,0.9580,0.8933,0.9582,0.9243,0.9916
Evening Grosbeak,2,120,0.9583,0.9670,0.9583,0.9622,0.9833
Hooded Warbler,1,49,0.9592,0.8545,0.9592,0.9038,1.0000
Inca Dove,1,50,0.9600,0.9231,0.9600,0.9412,1.0000
Golden-crowned Kinglet,1,51,0.9608,0.9423,0.9608,0.9515,0.9608
Chestnut-backed Chickadee,1,54,0.9630,0.8387,0.9630,0.8966,1.0000
American Avocet,1,54,0.9630,0.9630,0.9630,0.9630,0.9815
Roseate Spoonbill,1,29,0.9655,1.0000,0.9655,0.9825,0.9655
Green Heron,1,60,0.9667,1.0000,0.9667,0.9831,0.9833
Blue-winged Warbler,1,38,0.9737,0.8605,0.9737,0.9136,1.0000
Black-bellied Plover,2,77,0.9740,0.9241,0.9738,0.9481,1.0000
Ruffed Grouse,1,40,0.9750,0.9286,0.9750,0.9512,1.0000
Northern Cardinal,2,120,0.9750,0.9288,0.9750,0.9511,0.9917
Great Horned Owl,1,46,0.9783,0.7627,0.9783,0.8571,1.0000
Semipalmated Plover,1,54,0.9815,0.8833,0.9815,0.9298,0.9815
Ruddy Turnstone,1,55,0.9818,0.9153,0.9818,0.9474,0.9818
American Tree Sparrow,1,59,0.9831,0.9667,0.9831,0.9748,1.0000
Black Phoebe,1,60,0.9833,0.8676,0.9833,0.9219,1.0000
Canyon Wren,1,26,1.0000,0.7879,1.0000,0.8814,1.0000
Greater Roadrunner,1,34,1.0000,0.9189,1.0000,0.9577,1.0000
Black-necked Stilt,1,33,1.0000,0.9706,1.0000,0.9851,1.0000
Black-bellied Whistling-Duck,1,20,1.0000,0.9524,1.0000,0.9756,1.0000
American Dipper,1,31,1.0000,0.8857,1.0000,0.9394,1.0000
