species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Monk Parakeet,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
American White Pelican,1,28,0.9643,0.9310,0.9643,0.9474,0.9643
White-eyed Vireo,1,57,0.9649,0.9821,0.9649,0.9735,1.0000
Bewick's Wren,1,58,0.9655,1.0000,0.9655,0.9825,1.0000
Swallow-tailed Kite,1,29,0.9655,0.9032,0.9655,0.9333,0.9655
Turkey Vulture,1,59,0.9661,0.9828,0.9661,0.9744,0.9831
Red-winged Blackbird,2,119,0.9664,0.9512,0.9665,0.9587,1.0000
American Redstart,2,119,0.9664,0.9825,0.9661,0.9741,0.9832
Black Phoebe,1,60,0.9667,0.9508,0.9667,0.9587,1.0000
Great Blue Heron,1,60,0.9667,0.9667,0.9667,0.9667,0.9833
Horned Lark,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Wild Turkey,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
White-breasted Nuthatch,1,60,0.9667,0.9831,0.9667,0.9748,0.9833
Pine Siskin,1,60,0.9667,0.9667,0.9667,0.9667,1.0000
Canada Warbler,1,60,0.9667,0.9508,0.9667,0.9587,1.0000
Great Egret,1,60,0.9667,0.8788,0.9667,0.9206,1.0000
Mallard,2,120,0.9667,0.9146,0.9667,0.9398,0.9917
Savannah Sparrow,1,60,0.9667,0.9206,0.9667,0.9431,1.0000
Wilson's Warbler,1,60,0.9667,0.9355,0.9667,0.9508,1.0000
Red-eyed Vireo,1,60,0.9667,0.9206,0.9667,0.9431,1.0000
Ovenbird,1,60,0.9667,1.0000,0.9667,0.9831,1.0000
Heermann's Gull,2,61,0.9672,0.9583,0.9744,0.9651,1.0000
American Wigeon,2,64,0.9688,0.9389,0.9626,0.9504,1.0000
Brant,1,32,0.9688,1.0000,0.9688,0.9841,0.9688
Spotted Sandpiper,2,98,0.9694,0.9500,0.9698,0.9594,0.9898
Greater White-fronted Goose,1,33,0.9697,0.9697,0.9697,0.9697,1.0000
Blue-winged Warbler,1,38,0.9737,0.9737,0.9737,0.9737,1.0000
Scarlet Tanager,2,77,0.9740,0.8421,0.9643,0.8939,1.0000
Black-bellied Plover,2,77,0.9740,0.9773,0.9714,0.9737,1.0000
American Robin,2,119,0.9748,0.9833,0.9749,0.9789,0.9916
American Goldfinch,2,120,0.9750,0.9591,0.9750,0.9669,0.9917
Surfbird,1,40,0.9750,0.9070,0.9750,0.9398,1.0000
Hooded Merganser,2,86,0.9767,0.9697,0.9697,0.9697,0.9767
Palm Warbler,1,44,0.9773,0.9556,0.9773,0.9663,0.9773
Great Horned Owl,1,46,0.9783,0.9574,0.9783,0.9677,1.0000
Pyrrhuloxia,1,48,0.9792,0.9400,0.9792,0.9592,1.0000
Cattle Egret,1,49,0.9796,0.8889,0.9796,0.9320,1.0000
Golden-crowned Kinglet,1,51,0.9804,0.9804,0.9804,0.9804,1.0000
Gambel's Quail,2,52,0.9808,0.9730,0.9706,0.9710,1.0000
Eastern Towhee,1,54,0.9815,0.8689,0.9815,0.9217,1.0000
Wilson's Snipe,1,55,0.9818,0.9474,0.9818,0.9643,1.0000
Tree Swallow,1,56,0.9821,0.9483,0.9821,0.9649,1.0000
Wood Stork,1,56,0.9821,0.9483,0.9821,0.9649,1.0000
Rock Pigeon,1,58,0.9828,1.0000,0.9828,0.9913,1.0000
Brown Creeper,1,58,0.9828,0.9828,0.9828,0.9828,1.0000
Acorn Woodpecker,1,58,0.9828,0.9344,0.9828,0.9580,1.0000
Barred Owl,1,60,0.9833,1.0000,0.9833,0.9916,1.0000
Steller's Jay,1,60,0.9833,0.9833,0.9833,0.9833,1.0000
Belted Kingfisher,1,60,0.9833,0.9833,0.9833,0.9833,0.9833
Evening Grosbeak,2,120,0.9833,0.9839,0.9833,0.9833,1.0000
Swamp Sparrow,1,60,0.9833,0.8939,0.9833,0.9365,1.0000
Tricolored Heron,1,60,0.9833,0.9219,0.9833,0.9516,1.0000
Gray Catbird,1,60,0.9833,0.9365,0.9833,0.9593,1.0000
