species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Merlin,1,58,0.5517,0.6809,0.5517,0.6095,0.7931
White-faced Ibis,1,34,0.5588,0.7600,0.5588,0.6441,1.0000
Orchard Oriole,3,93,0.5591,0.5496,0.5052,0.5126,0.8602
Red-shouldered Hawk,2,76,0.5658,0.5756,0.5658,0.5605,0.8158
Northern Harrier,2,120,0.5667,0.6242,0.5667,0.5631,0.7583
Cape May Warbler,1,60,0.5667,0.8095,0.5667,0.6667,0.8000
Calliope Hummingbird,2,89,0.5730,0.6587,0.5810,0.6136,0.8989
Greater Yellowlegs,1,59,0.5763,0.7234,0.5763,0.6415,0.9492
Bushtit,1,60,0.5833,0.6364,0.5833,0.6087,0.8333
Tennessee Warbler,1,60,0.5833,0.4268,0.5833,0.4930,0.9000
Herring Gull,2,101,0.5842,0.4367,0.5849,0.5000,0.9307
Plumbeous Vireo,1,41,0.5854,0.5217,0.5854,0.5517,0.9512
Mottled Duck,1,29,0.5862,0.6538,0.5862,0.6182,0.9310
Western Sandpiper,1,51,0.5882,0.6977,0.5882,0.6383,1.0000
Common Nighthawk,1,39,0.5897,0.7931,0.5897,0.6765,0.8974
Black-billed Cuckoo,1,32,0.5938,0.5938,0.5938,0.5938,0.8750
American Black Duck,1,37,0.5946,0.6667,0.5946,0.6286,0.8649
Oak Titmouse,1,37,0.5946,0.4783,0.5946,0.5301,0.8919
Cliff Swallow,1,30,0.6000,0.4286,0.6000,0.5000,0.7000
Brewer's Sparrow,1,35,0.6000,0.5250,0.6000,0.5600,0.8857
Eastern Meadowlark,1,40,0.6000,0.6667,0.6000,0.6316,0.9500
Pine Warbler,1,48,0.6042,0.5686,0.6042,0.5859,0.8958
Harris's Hawk,1,43,0.6047,0.5909,0.6047,0.5977,0.9302
Pygmy Nuthatch,1,38,0.6053,0.6053,0.6053,0.6053,0.8684
Royal Tern,1,38,0.6053,0.5349,0.6053,0.5679,0.9474
Purple Martin,2,71,0.6056,0.6825,0.6056,0.6417,0.8451
Monk Parakeet,1,28,0.6071,0.9444,0.6071,0.7391,0.9286
House Wren,1,54,0.6111,0.7021,0.6111,0.6535,0.8519
Caspian Tern,1,49,0.6122,0.6383,0.6122,0.6250,0.9592
Canada Goose,1,31,0.6129,0.7308,0.6129,0.6667,0.8065
Florida Scrub-Jay,1,26,0.6154,0.6154,0.6154,0.6154,0.9615
Ladder-backed Woodpecker,1,50,0.6200,0.7045,0.6200,0.6596,0.8600
Band-tailed Pigeon,1,40,0.6250,0.7812,0.6250,0.6944,0.9000
Warbling Vireo,1,60,0.6333,0.8261,0.6333,0.7170,0.8667
Ash-throated Flycatcher,1,41,0.6341,0.7879,0.6341,0.7027,0.9756
California Towhee,1,44,0.6364,0.8000,0.6364,0.7089,0.8864
Sandhill Crane,1,25,0.6400,0.7619,0.6400,0.6957,0.8400
Hooded Oriole,2,78,0.6410,0.6020,0.6133,0.6035,0.9487
Black-legged Kittiwake,2,42,0.6429,0.4821,0.6281,0.5411,0.9286
Cackling Goose,1,14,0.6429,0.6923,0.6429,0.6667,0.9286
Western Screech-Owl,1,34,0.6471,0.5641,0.6471,0.6027,0.9706
Brown-capped Rosy-Finch,1,34,0.6471,0.6111,0.6471,0.6286,1.0000
Crested Caracara,1,54,0.6481,0.9211,0.6481,0.7609,0.8148
Violet-green Swallow,1,37,0.6486,0.7742,0.6486,0.7059,0.8108
Marsh Wren,1,60,0.6500,0.7500,0.6500,0.6964,0.9000
Clay-colored Sparrow,1,60,0.6500,0.6190,0.6500,0.6341,0.9000
Blue Grosbeak,2,100,0.6500,0.7142,0.6162,0.6568,0.8500
Common Redpoll,1,40,0.6500,0.6500,0.6500,0.6500,0.9500
Northern Flicker,2,118,0.6525,0.6752,0.6525,0.6624,0.9661
Orange-crowned Warbler,1,58,0.6552,0.7170,0.6552,0.6847,0.8621
Bronzed Cowbird,1,32,0.6562,0.6774,0.6562,0.6667,0.8750
Western Bluebird,1,59,0.6610,0.8478,0.6610,0.7429,0.9322
Northern Rough-winged Swallow,1,42,0.6667,0.6364,0.6667,0.6512,0.8810
Black Vulture,1,48,0.6667,0.8205,0.6667,0.7356,0.8750
Nuttall's Woodpecker,1,45,0.6667,0.6383,0.6667,0.6522,0.9556
Black-crested Titmouse,1,33,0.6667,0.6286,0.6667,0.6471,0.9394
Lesser Goldfinch,2,95,0.6737,0.7968,0.6344,0.7004,0.8421
Canyon Towhee,1,46,0.6739,0.6200,0.6739,0.6458,0.9565
Northern Gannet,2,80,0.6750,0.7268,0.5500,0.6036,0.9000
Ruby-throated Hummingbird,2,114,0.6754,0.5818,0.6750,0.6185,0.9211
Gray-crowned Rosy-Finch,1,37,0.6757,0.7143,0.6757,0.6944,0.9730
Pigeon Guillemot,2,59,0.6780,0.6888,0.6688,0.6735,0.9322
Chipping Sparrow,2,106,0.6792,0.6886,0.6609,0.6726,0.9057
Yellow-rumped Warbler,4,214,0.6822,0.6553,0.6714,0.6622,0.9673
Red-necked Grebe,2,60,0.6833,0.7976,0.6858,0.7371,0.9000
Ruby-crowned Kinglet,1,60,0.6833,0.8367,0.6833,0.7523,0.8667
Yellow Warbler,1,60,0.6833,0.8542,0.6833,0.7593,0.9000
Lesser Scaup,2,79,0.6835,0.4711,0.6955,0.5567,0.9114
Brown-headed Nuthatch,1,38,0.6842,0.6190,0.6842,0.6500,0.9737
Bullock's Oriole,2,87,0.6897,0.7688,0.6822,0.7222,0.9080
Bonaparte's Gull,1,58,0.6897,0.6780,0.6897,0.6838,0.9483
House Sparrow,2,116,0.6897,0.6756,0.6884,0.6812,0.8707
Laughing Gull,2,104,0.6923,0.6977,0.6814,0.6873,0.9135
White-tailed Kite,1,13,0.6923,0.3913,0.6923,0.5000,0.7692
