order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.5996,0.6006,0.5880,0.5851,0.9175
"Hawks, Kites, Eagles, and Allies",29,1260,0.6246,0.6268,0.5995,0.6014,0.8802
Skuas and Alcids,4,91,0.6484,0.6032,0.6018,0.5994,0.9121
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6560,0.6252,0.6149,0.6104,0.9165
"Gulls, Terns, and Allies",26,1038,0.6667,0.6424,0.6387,0.6354,0.9220
Loons,6,226,0.6991,0.7019,0.7053,0.6950,0.9159
Caracaras and Falcons,7,346,0.7110,0.7873,0.6896,0.7316,0.8873
Woodpeckers,16,843,0.7746,0.7714,0.7700,0.7665,0.9715
"Ducks, Geese, and Swans",70,2420,0.7793,0.7630,0.7471,0.7449,0.9397
Perching Birds,265,12539,0.7855,0.7755,0.7608,0.7626,0.9426
Pigeons and Doves,7,359,0.8106,0.8555,0.8083,0.8270,0.9304
Owls,9,426,0.8122,0.7912,0.7995,0.7940,0.9507
Cuckoos,3,113,0.8319,0.8419,0.8239,0.8317,0.9469
Grebes,9,375,0.8427,0.8372,0.8375,0.8358,0.9680
"Pelicans, Herons, Ibises, and Allies",21,983,0.8576,0.8545,0.8518,0.8514,0.9725
Cranes and Rails,6,200,0.8700,0.8900,0.8091,0.8373,0.9550
"Plovers, Sandpipers, and Allies",32,1573,0.8703,0.8720,0.8720,0.8706,0.9873
Nightjars,1,39,0.8718,0.7391,0.8718,0.8000,0.9487
Parrots,1,28,0.8929,0.9615,0.8929,0.9259,1.0000
Storks,1,56,0.8929,0.9259,0.8929,0.9091,0.9821
"Grouse, Quail, and Allies",10,342,0.9211,0.8946,0.9038,0.8971,0.9678
Kingfishers and Allies,1,60,0.9333,0.9333,0.9333,0.9333,0.9667
