species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Snowy Owl,1,46,0.5870,0.7941,0.5870,0.6750,0.8261
Northern Gannet,2,80,0.5875,0.4472,0.4750,0.4607,0.7750
Hooded Oriole,2,78,0.5897,0.6516,0.5774,0.6111,0.9103
Cattle Egret,1,49,0.5918,0.4603,0.5918,0.5179,0.8163
Yellow-billed Magpie,1,27,0.5926,0.8000,0.5926,0.6809,0.8889
Western Bluebird,1,59,0.5932,0.7000,0.5932,0.6422,0.9153
Red-throated Loon,2,59,0.5932,0.6981,0.4965,0.5484,0.8814
Verdin,1,32,0.5938,0.8636,0.5938,0.7037,0.7500
Lesser Scaup,2,79,0.5949,0.4143,0.5925,0.4876,0.8734
Western Grebe,1,42,0.5952,0.7576,0.5952,0.6667,0.9286
Gadwall,2,75,0.6000,0.4155,0.4366,0.4048,0.8133
Summer Tanager,3,100,0.6000,0.6539,0.5688,0.6073,0.9000
Brewer's Sparrow,1,35,0.6000,0.6000,0.6000,0.6000,0.9143
Reddish Egret,2,75,0.6000,0.5482,0.5661,0.5564,0.8667
Short-billed Dowitcher,1,60,0.6000,0.6923,0.6000,0.6429,0.8500
Lazuli Bunting,2,68,0.6029,0.6795,0.5168,0.5832,0.8382
Carolina Chickadee,1,58,0.6034,0.4430,0.6034,0.5109,0.7586
Common Grackle,1,58,0.6034,0.5469,0.6034,0.5738,0.8276
Harris's Hawk,1,43,0.6047,0.6190,0.6047,0.6118,0.8140
Golden-fronted Woodpecker,1,33,0.6061,0.6667,0.6061,0.6349,0.8788
Yellow-crowned Night-Heron,2,99,0.6061,0.7664,0.6122,0.6747,0.7879
Redhead,2,44,0.6136,0.4114,0.6198,0.4807,0.8409
Glossy Ibis,1,44,0.6136,0.4576,0.6136,0.5243,0.8409
Warbling Vireo,1,60,0.6167,0.7400,0.6167,0.6727,0.8833
Bohemian Waxwing,1,60,0.6167,0.9250,0.6167,0.7400,0.8500
Wrentit,1,37,0.6216,0.7188,0.6216,0.6667,0.7568
California Thrasher,1,32,0.6250,0.5405,0.6250,0.5797,0.7500
House Wren,1,54,0.6296,0.4474,0.6296,0.5231,0.8889
Lesser Goldfinch,2,95,0.6316,0.6336,0.5897,0.6089,0.7684
Anna's Hummingbird,2,106,0.6321,0.5298,0.6286,0.5743,0.8774
Caspian Tern,1,49,0.6327,0.5000,0.6327,0.5586,0.9796
Eastern Wood-Pewee,1,49,0.6327,0.4079,0.6327,0.4960,0.9388
American Coot,1,60,0.6333,0.7600,0.6333,0.6909,0.8333
Tennessee Warbler,1,60,0.6333,0.5352,0.6333,0.5802,0.8833
Broad-billed Hummingbird,2,71,0.6338,0.6771,0.5093,0.5560,0.8592
Black-throated Gray Warbler,1,41,0.6341,0.8667,0.6341,0.7324,0.8293
Greater White-fronted Goose,1,33,0.6364,0.8077,0.6364,0.7119,0.7879
Eared Grebe,2,80,0.6375,0.8377,0.6372,0.7236,0.8625
Common Eider,3,73,0.6438,0.6017,0.6390,0.6120,0.8356
Dark-eyed Junco,5,192,0.6458,0.5688,0.5306,0.5476,0.8490
Harlequin Duck,2,65,0.6462,0.9643,0.5217,0.5788,0.7846
Indigo Bunting,2,99,0.6465,0.5653,0.6231,0.5855,0.8687
Winter Wren,1,54,0.6481,0.4667,0.6481,0.5426,0.8333
Hermit Warbler,1,37,0.6486,0.7742,0.6486,0.7059,0.8919
White-throated Swift,1,40,0.6500,0.3662,0.6500,0.4685,0.9000
Canvasback,2,72,0.6528,0.6909,0.6083,0.6304,0.9306
Mountain Bluebird,1,49,0.6531,0.5333,0.6531,0.5872,0.7959
Osprey,1,52,0.6538,0.4722,0.6538,0.5484,0.8846
Rock Pigeon,1,58,0.6552,0.8636,0.6552,0.7451,0.7759
Orange-crowned Warbler,1,58,0.6552,0.4524,0.6552,0.5352,0.8276
Northern Bobwhite,1,32,0.6562,0.7778,0.6562,0.7119,0.8750
Common Ground-Dove,1,35,0.6571,0.6970,0.6571,0.6765,0.8857
Mountain Chickadee,1,53,0.6604,0.6731,0.6604,0.6667,0.9434
Black Skimmer,1,53,0.6604,0.8750,0.6604,0.7527,0.8679
Tree Swallow,1,56,0.6607,0.6852,0.6607,0.6727,0.8214
Blue-winged Teal,2,59,0.6610,0.6145,0.5518,0.5810,0.8814
Green-winged Teal,2,71,0.6620,0.6235,0.6179,0.6118,0.8451
European Starling,3,154,0.6623,0.7240,0.6335,0.6691,0.8896
Blackburnian Warbler,1,51,0.6667,0.6939,0.6667,0.6800,0.8235
Forster's Tern,1,60,0.6667,0.5063,0.6667,0.5755,0.9167
Red-necked Grebe,2,60,0.6667,0.6719,0.6685,0.6700,0.8833
Bullock's Oriole,2,87,0.6667,0.7832,0.6422,0.7000,0.9080
Vesper Sparrow,1,60,0.6667,0.6349,0.6667,0.6504,0.9500
Eastern Phoebe,1,60,0.6667,0.7018,0.6667,0.6838,0.8667
Nuttall's Woodpecker,1,45,0.6667,0.7317,0.6667,0.6977,0.9333
Steller's Jay,1,60,0.6667,0.6667,0.6667,0.6667,0.9333
Surfbird,1,40,0.6750,0.8710,0.6750,0.7606,0.8250
Bridled Titmouse,1,31,0.6774,0.6364,0.6774,0.6562,0.9032
Wilson's Phalarope,2,81,0.6790,0.7167,0.6452,0.6791,0.8765
Cinnamon Teal,2,75,0.6800,0.7068,0.5114,0.5411,0.8667
Common Loon,2,120,0.6833,0.6637,0.6833,0.6530,0.8417
Semipalmated Sandpiper,1,60,0.6833,0.6406,0.6833,0.6613,0.9333
Western Scrub-Jay,1,60,0.6833,0.6406,0.6833,0.6613,0.9000
Pied-billed Grebe,1,60,0.6833,0.6212,0.6833,0.6508,0.9333
Western Tanager,2,86,0.6860,0.7509,0.6366,0.6831,0.8837
Bronzed Cowbird,1,32,0.6875,0.5366,0.6875,0.6027,0.8438
Surf Scoter,2,61,0.6885,0.5230,0.6554,0.5782,0.9016
Ruddy Duck,3,106,0.6887,0.6413,0.6732,0.6513,0.8585
Mottled Duck,1,29,0.6897,0.5714,0.6897,0.6250,0.8966
Northern Shoveler,2,100,0.6900,0.6773,0.6667,0.6706,0.8700
Red-breasted Sapsucker,1,42,0.6905,0.7073,0.6905,0.6988,0.9286
Red-headed Woodpecker,2,94,0.6915,0.6944,0.6031,0.6288,0.8617
American Oystercatcher,1,49,0.6939,0.9444,0.6939,0.8000,0.8776
Snowy Egret,1,49,0.6939,0.5965,0.6939,0.6415,0.9388
Ross's Goose,1,23,0.6957,0.6667,0.6957,0.6809,0.9130
House Sparrow,2,116,0.6983,0.6929,0.6977,0.6914,0.8276
Barred Owl,1,60,0.7000,0.6885,0.7000,0.6942,0.8167
Blue Grosbeak,2,100,0.7000,0.6788,0.6856,0.6820,0.9200
Loggerhead Shrike,1,60,0.7000,0.6176,0.7000,0.6562,0.9000
Marbled Godwit,1,60,0.7000,0.6269,0.7000,0.6614,0.9333
Horned Lark,1,60,0.7000,0.7778,0.7000,0.7368,0.8500
Yellow Warbler,1,60,0.7000,0.6774,0.7000,0.6885,0.8500
Yellow-rumped Warbler,4,214,0.7009,0.6477,0.6909,0.6671,0.9720
Yellow-billed Cuckoo,1,47,0.7021,0.4714,0.7021,0.5641,0.8723
Ring-necked Pheasant,2,61,0.7049,0.5972,0.6330,0.6129,0.8197
Purple Gallinule,2,51,0.7059,0.7197,0.5159,0.5476,0.7843
Black-billed Magpie,1,38,0.7105,0.6750,0.7105,0.6923,0.8158
Western Kingbird,1,52,0.7115,0.6852,0.7115,0.6981,0.8846
Laughing Gull,2,104,0.7115,0.6755,0.6983,0.6859,0.9231
Turkey Vulture,1,59,0.7119,0.6774,0.7119,0.6942,0.7966
Common Goldeneye,2,84,0.7143,0.4886,0.6845,0.5630,0.9048
Black Oystercatcher,1,49,0.7143,0.8974,0.7143,0.7955,0.9184
Marsh Wren,1,60,0.7167,0.7167,0.7167,0.7167,0.8667
Hermit Thrush,1,60,0.7167,0.7167,0.7167,0.7167,0.9167
Ruby-crowned Kinglet,1,60,0.7167,0.6324,0.7167,0.6719,0.9333
Wild Turkey,1,60,0.7167,0.6143,0.7167,0.6615,0.8000
Northern Parula,1,60,0.7167,0.6935,0.7167,0.7049,0.8167
Clay-colored Sparrow,1,60,0.7167,0.6232,0.7167,0.6667,0.9500
Wood Thrush,1,46,0.7174,0.8919,0.7174,0.7952,0.9130
Blackpoll Warbler,2,103,0.7184,0.7312,0.7320,0.7314,0.8738
Black-crowned Night-Heron,2,114,0.7193,0.7270,0.7111,0.7097,0.9035
Sanderling,2,68,0.7206,0.7786,0.6128,0.6700,0.9265
Cactus Wren,1,43,0.7209,0.8857,0.7209,0.7949,0.9302
Hooded Merganser,2,86,0.7209,0.7314,0.6878,0.7088,0.9186
