order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Storks,1,56,0.3036,0.6800,0.3036,0.4198,0.6071
Skuas and Alcids,4,91,0.3956,0.3279,0.3268,0.3248,0.7253
"Hawks, Kites, Eagles, and Allies",29,1260,0.4183,0.3972,0.3895,0.3841,0.7095
Parrots,1,28,0.4643,0.6190,0.4643,0.5306,0.7143
Swifts and Hummingbirds,21,909,0.4939,0.4777,0.4634,0.4577,0.8361
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.5135,0.4023,0.4474,0.4092,0.7690
"Gulls, Terns, and Allies",26,1038,0.5154,0.4715,0.4926,0.4746,0.8314
Nightjars,1,39,0.5385,0.5676,0.5385,0.5526,0.7692
Loons,6,226,0.5664,0.5849,0.4849,0.5083,0.7920
Kingfishers and Allies,1,60,0.5833,0.8974,0.5833,0.7071,0.8500
Caracaras and Falcons,7,346,0.6069,0.6460,0.5857,0.6075,0.7601
"Pelicans, Herons, Ibises, and Allies",21,983,0.6124,0.6207,0.6036,0.6043,0.8413
"Ducks, Geese, and Swans",70,2420,0.6140,0.5970,0.5662,0.5609,0.8360
Owls,9,426,0.6150,0.5943,0.6101,0.5939,0.8404
Cranes and Rails,6,200,0.6700,0.6625,0.5561,0.5792,0.8150
Cuckoos,3,113,0.6726,0.5582,0.6666,0.5902,0.8584
Perching Birds,265,12539,0.6755,0.6614,0.6427,0.6438,0.8765
Woodpeckers,16,843,0.6892,0.6889,0.6774,0.6787,0.9015
Grebes,9,375,0.6933,0.7084,0.6908,0.6936,0.9173
Pigeons and Doves,7,359,0.6964,0.7131,0.6911,0.6977,0.8524
"Plovers, Sandpipers, and Allies",32,1573,0.7203,0.7313,0.7154,0.7175,0.9053
"Grouse, Quail, and Allies",10,342,0.7807,0.7234,0.7488,0.7338,0.9006
