species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Wilson's Snipe,1,55,0.9455,0.9455,0.9455,0.9455,0.9636
Townsend's Solitaire,1,37,0.9459,0.8537,0.9459,0.8974,0.9730
Brown-headed Nuthatch,1,38,0.9474,0.8182,0.9474,0.8780,1.0000
Scaled Quail,1,19,0.9474,1.0000,0.9474,0.9730,1.0000
White-eyed Vireo,1,57,0.9474,0.9310,0.9474,0.9391,0.9825
Common Nighthawk,1,39,0.9487,0.9250,0.9487,0.9367,0.9744
California Quail,2,78,0.9487,0.9328,0.9091,0.9198,1.0000
American Tree Sparrow,1,59,0.9492,0.9333,0.9492,0.9412,1.0000
Turkey Vulture,1,59,0.9492,0.9333,0.9492,0.9412,0.9831
Killdeer,1,60,0.9500,0.9828,0.9500,0.9661,0.9667
Black-throated Green Warbler,1,60,0.9500,0.8143,0.9500,0.8769,0.9833
Bushtit,1,60,0.9500,0.8143,0.9500,0.8769,0.9500
Wild Turkey,1,60,0.9500,0.9828,0.9500,0.9661,1.0000
Northern Mockingbird,1,60,0.9500,0.8906,0.9500,0.9194,1.0000
Black-and-white Warbler,1,60,0.9500,0.9500,0.9500,0.9500,0.9833
Song Sparrow,1,60,0.9500,0.9194,0.9500,0.9344,0.9833
Wilson's Warbler,1,60,0.9500,0.9048,0.9500,0.9268,1.0000
Tricolored Heron,1,60,0.9500,0.9344,0.9500,0.9421,0.9833
White-breasted Nuthatch,1,60,0.9500,0.9194,0.9500,0.9344,0.9667
Pine Siskin,1,60,0.9500,0.8906,0.9500,0.9194,0.9833
Anhinga,1,60,0.9500,0.7808,0.9500,0.8571,1.0000
Short-billed Dowitcher,1,60,0.9500,0.9500,0.9500,0.9500,1.0000
Great Egret,1,60,0.9500,0.8507,0.9500,0.8976,0.9833
Savannah Sparrow,1,60,0.9500,0.8507,0.9500,0.8976,1.0000
Palm Warbler,1,44,0.9545,0.9545,0.9545,0.9545,0.9773
Black-throated Blue Warbler,2,91,0.9560,0.9062,0.9447,0.9247,1.0000
Dunlin,2,93,0.9570,0.9667,0.9542,0.9599,0.9892
Red-winged Blackbird,2,119,0.9580,0.9249,0.9578,0.9392,0.9916
Pyrrhuloxia,1,48,0.9583,0.9583,0.9583,0.9583,1.0000
Common Yellowthroat,2,120,0.9583,0.9069,0.9583,0.9318,0.9917
Black Vulture,1,48,0.9583,0.9388,0.9583,0.9485,0.9583
Spotted Sandpiper,2,98,0.9592,0.9216,0.9591,0.9396,0.9796
Inca Dove,1,50,0.9600,0.9231,0.9600,0.9412,1.0000
Field Sparrow,1,51,0.9608,0.9074,0.9608,0.9333,1.0000
Gambel's Quail,2,52,0.9615,1.0000,0.9412,0.9688,1.0000
Great Crested Flycatcher,1,53,0.9623,0.8947,0.9623,0.9273,1.0000
Chestnut-backed Chickadee,1,54,0.9630,0.7536,0.9630,0.8455,1.0000
Cedar Waxwing,1,54,0.9630,1.0000,0.9630,0.9811,0.9815
Monk Parakeet,1,28,0.9643,0.9643,0.9643,0.9643,1.0000
Varied Thrush,1,56,0.9643,0.9474,0.9643,0.9558,0.9821
American White Pelican,1,28,0.9643,0.9000,0.9643,0.9310,0.9643
Swallow-tailed Kite,1,29,0.9655,0.8000,0.9655,0.8750,0.9655
Acorn Woodpecker,1,58,0.9655,0.9655,0.9655,0.9655,0.9828
Bobolink,2,88,0.9659,0.9581,0.9667,0.9623,0.9886
Lark Sparrow,1,59,0.9661,0.9048,0.9661,0.9344,0.9831
